ID,Revenue_Discounted,Baseline_Year,OPOs,Revenue_Discounted_10_years,NPV_diff,NPV_diff_10,Rel_diff_10/100,Normalized_opos,Normalized_revenue_dis,Normalized_revenue_dis_10,ID_mn,ID_n
ACR360,449.141211,2018,8.747245,261.724088,440.393966,252.976843,57.44,0.037425525146010004,1.0,1.0,ACR360 ,ACR360 
ACR324,360.662639,2018,37.844152,203.546451,322.818487,165.702299,51.33,0.1640335362226995,0.8021117920109121,0.7768843298798612,ACR324 ,ACR324 
ACR255,311.296242,2017,116.945217,224.30681,194.351025,107.361593,55.24,0.5082223021866535,0.6917005634344847,0.8565018882592031,ACR255 ,ACR255 
ACR416,289.696854,2020,41.733018,122.119662,247.963836,80.386644,32.42,0.18095497703438992,0.6433920963292401,0.4646063906183176,ACR416 ,ACR416 
ACR303,231.28459,2018,64.575013,123.351705,166.709577,58.776692,35.26,0.28034628195809497,0.5127491848732832,0.4693313693857059,ACR303 ,ACR303 
ACR268,224.375768,2018,229.965,103.042019,-5.589232,-126.922981,2270.85,1.0,0.4972971451986874,0.39144217629559125,ACR268 *,ACR268 *¹
ACR248,171.764379,2016,124.770264,73.312105,46.994115,-51.458159,-109.5,0.5422710633574411,0.3796282762998221,0.2774256911515815,ACR248 *,ACR248 *
ACR211,144.725335,2015,34.407364,67.234535,110.317971,32.827171,29.76,0.14907920127664376,0.3191536569434191,0.2541177471858949,ACR211 ,ACR211 
CAR1205,142.699898,2020,8.187178,72.64874,134.51272,64.461562,47.92,0.03498853179342829,0.3146236324497508,0.2748816358385538,CAR1205 ,CAR1205 
ACR269,131.387296,2019,153.945,52.868414,-22.557704,-101.076586,448.08,0.6692177281231322,0.28932224605900103,0.1990225786773837,ACR269 *,ACR269 *¹
CAR1215,124.281056,2019,60.794816,68.113853,63.48624,7.319037,11.53,0.2638976874855598,0.2734286679038249,0.2574899987061604,CAR1215 ,CAR1215 
CAR1139,103.44122,2017,34.676084,38.186831,68.765136,3.510747,5.11,0.15024847004931877,0.22681898933864098,0.14271758936560677,CAR1139 ,CAR1139 
CAR1257,100.964997,2019,28.809088,50.003285,72.155909,21.194197,29.37,0.12471968465110124,0.22128075198947394,0.18803459068440895,CAR1257 ,CAR1257 
ACR427,97.68165,2020,91.638233,45.518766,6.043417,-46.119467,-763.14,0.3981052058715846,0.21393732815984495,0.1708361186692686,ACR427 *,ACR427 *
ACR247,89.595745,2020,18.665113,35.37038,70.930632,16.705267,23.55,0.08058068048953654,0.19585266410785268,0.13191628521113358,ACR247 ,ACR247 
ACR274,88.214721,2017,0.146154,24.534744,88.068567,24.38859,27.69,0.0,0.19276391212675242,0.0903607956453078,ACR274 ,ACR274 
CAR1197,78.846028,2019,16.947694,36.656565,61.898334,19.708871,31.84,0.07310775548842499,0.1718102074380069,0.1368489026732947,CAR1197 ,CAR1197 
ACR267,78.697489,2018,154.966901,34.606762,-76.269412,-120.360139,157.81,0.6736642781680315,0.1714779900902123,0.1289877520053968,ACR267 *,ACR267 *¹
ACR417,75.736643,2019,103.03297,29.064955,-27.296327,-73.968015,270.98,0.4476865922475305,0.1648558611856945,0.10773449996146324,ACR417 *,ACR417 *¹
CAR1098,73.997029,2017,13.967987,23.954755,60.029042,9.986768,16.64,0.06014229572800135,0.16096509883192675,0.08813649364422603,CAR1098 ,CAR1098 
CAR1339,73.803769,2020,9.361566,54.554136,64.442203,45.19257,70.13,0.040098591392282945,0.16053285999475417,0.20548745097300924,CAR1339 ,CAR1339 
CAR1013,70.136286,2015,6.000001,19.666962,64.136285,13.666961,21.31,0.025471570769265806,0.152330290465259,0.07169248082652703,CAR1013 ,CAR1013 
ACR413,59.437714,2021,0.72382,33.134085,58.713894,32.410265,55.2,0.0025135710584849075,0.12840222298783371,0.12333992351546491,ACR413 ,ACR413 
CAR1336,56.149863,2021,18.883323,28.475324,37.26654,9.592001,25.74,0.08153016746067901,0.1210487256627963,0.10547322015581201,CAR1336 ,CAR1336 
CAR1191,54.533845,2019,23.794716,22.92236,30.739129,-0.872356,-2.84,0.10290088220180169,0.11743439397920956,0.0841771801668897,CAR1191 *,CAR1191 *
ACR420,54.305529,2020,15.634058,43.406563,38.671471,27.772505,71.82,0.06739179257735894,0.11692375006765054,0.1627356592474676,ACR420 ,ACR420 
CAR1140,50.953643,2017,25.661409,24.532005,25.292234,-1.129404,-4.47,0.11102333618018428,0.10942703420831557,0.09035029137163889,CAR1140 *,CAR1140 *
