CARB Issuance ID;OPR Project ID;Project Type;Early Action/ Compliance;Reporting Period Start Date;Reporting Period End Date;Vintage;ARB Offset Credits Issued;Forest Buffer Account Contribution;Issuance Date;Invalidation Timeframe;Date Invalidation Period Reduced;Start of Invalidation Timeframe;Size;Upfront credits additional?;Offset Project Name;Technical Advisor;Offset Project Operator;Verification Body;Technical Advisor;State;Provides DEBS;Section 95989(b) Documentation, if applicable;Project Documentation;Buffer Pool Retired;Retired for Intentional Reversal;Retired Voluntarily;Retired 1st Compliance Period (CA);Retired 2nd Compliance Period (CA);Retired 3rd Compliance Period (CA);Retired for Compliance in Quebec;Comment
CAFR5003-A;CAR973;Forest;COP;8.8.2012;6.23.2013;2013; 2.163.951 ; 415.479 ;10.06.14;3 years;27.09.16;23.06.13;Large;N;Blue Source – Bishop Improved Forest Management Project;Blue Source;Heartwood Forestland Fund IV, Limited Partnership;Environmental Services, Inc.;;MI;–;–;https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=973; 415.479 ;0;0; 817.980 ; 802.319 ;128.173;0;"On 9/12/2017, ARB retired 178,642 of 415,479 credits from the buffer pool for the CAFR5076-A unintentional reversal; on 4/13/2021, ARB retired the remaining 236,837 credits from the buffer pool for the CAFR5224-A-B reversal."
CAFR5003-B;CAR973;Forest;COP;6.24.2013;6.23.2014;2014; 147.666 ; 28.352 ;08.09.15;3 years;27.09.16;23.06.14;Small;N;Blue Source – Bishop Improved Forest Management Project;Blue Source;Heartwood Forestland Fund IV, Limited Partnership;Environmental Services, Inc.;;MI;–;–;https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=973;0;0;0; 84.000 ; 31.207 ;4.107;0;n/a
CAFR5003-C;CAR973;Forest;COP;6.24.2014;6.23.2015;2015; 349.786 ; 67.159 ;27.09.16;3 years;08.08.17;23.06.15;Medium;N;Blue Source – Bishop Improved Forest Management Project;Blue Source;Heartwood Forestland Fund IV, Limited Partnership;SCS Global Services;;MI;–;–;https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=973;0;0;0;0; 191.314 ;0;91.313;n/a
CAFR5003-D;CAR973;Forest;COP;6.24.2015;6.23.2016;2016; 450.720 ; 86.539 ;08.08.17;8 years;n/a;23.06.16;Medium;N;Blue Source – Bishop Improved Forest Management Project;Blue Source;Great Lakes Forests 1, LLC;S&A Carbon, LLC;;MI;–;–;https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=973;0;0;0;0; 112.063 ;0;252.118;n/a
CAFR5011-A;CAR993;Forest;COP;3.31.2012;3.31.2013;2013; 836.619 ; 132.187 ;08.04.14;3 years;12.12.17;31.03.13;Medium;N;Yurok Tribe/Forest Carbon Partners CKGG Improved Forest Management Project;Forest Carbon Partners;Yurok Tribe;SCS Global Services;;CA;DEBS;–;https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=993; 132.187 ;0;0; 669.210 ; 1.567 ;27.357;0;On 9/12/2017, ARB retired all 132,187 credits from the buffer pool for the CAFR5076-A unintentional reversal.
CAFR5011-B;CAR993;Forest;COP;4.1.2013;3.31.2014;2014; 19.520 ; 3.084 ;12.05.15;3 years;12.12.17;31.03.14;Small;N;Yurok Tribe/Forest Carbon Partners CKGG Improved Forest Management Project;Forest Carbon Partners;Yurok Tribe;SCS Global Services;;CA;DEBS;–;https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=993;0;0;0; 2.411 ; 1.105 ;12.327;0;n/a
CAFR5011-C;CAR993;Forest;COP;4.1.2014;3.31.2015;2015; 19.520 ; 3.084 ;23.02.16;3 years;12.12.17;31.03.15;Small;N;Yurok Tribe/Forest Carbon Partners CKGG Improved Forest Management Project;Forest Carbon Partners;Yurok Tribe;SCS Global Services;;CA;DEBS;–;https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=993;0;0;0;0; 15.614 ;822;0;n/a
CAFR5011-D;CAR993;Forest;COP;4.1.2015;3.31.2016;2016; 107.992 ; 17.063 ;12.12.17;8 years;n/a;31.03.16;Small;N;Yurok Tribe/Forest Carbon Partners CKGG Improved Forest Management Project;Forest Carbon Partners;Yurok Tribe;S&A Carbon, LLC;;CA;DEBS;–;https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=993;0;0;0;0; 24.555 ;0;0;n/a
CAFR5012-A;ACR182;Forest;COP;3.25.2012;8.25.2013;2013; 107.214 ; 20.586 ;26.08.14;8 years;n/a;25.08.13;Small;N;Hanes Ranch Forest Carbon Project;Forest Carbon Partners;Hanes Ranch, Inc.;SCS Global Services;;CA;DEBS;–;https://acr2.apx.com/mymodule/reg/prjView.asp?id1=182;20.586;0;0; 82.297 ;0;0;0;On 1/25/2022, ARB retired all 20,586 credits from the buffer pool for the CAFR5231-A unintentional reversal.
CAFR5012-B;ACR182;Forest;COP;8.26.2013;8.25.2014;2014; 10.051 ; 1.930 ;25.10.16;3 years;26.01.21;25.08.14;Small;N;Hanes Ranch Forest Carbon Project;Forest Carbon Partners;Hanes Ranch, Inc.;SCS Global Services;;CA;DEBS;–;https://acr2.apx.com/mymodule/reg/prjView.asp?id1=182;0;0;0;0; 7.169 ;0;0;n/a
CAFR5012-C;ACR182;Forest;COP;8.26.2014;8.25.2015;2015; 10.051 ; 1.930 ;25.10.16;3 years;26.01.21;25.08.15;Small;N;Hanes Ranch Forest Carbon Project;Forest Carbon Partners;Hanes Ranch, Inc.;SCS Global Services;;CA;DEBS;–;https://acr2.apx.com/mymodule/reg/prjView.asp?id1=182;0;0;0;0;0;0;0;n/a
